name,period,final_equity,sharpe,calmar,max_dd_%,trades,WR%,PF
btc_w0,full,4218451.9,2.783,18.19,-60.5,281,53.4,12.49
btc_gate,full,4218451.9,2.783,18.19,-60.5,281,53.4,12.49
btc_w50,full,9717639.3,2.944,22.46,-60.5,315,54.6,9.26
btc_w25,full,6912035.5,2.882,20.62,-60.5,315,54.6,10.69
btc_lb10_w25,full,11560161.8,2.976,23.46,-60.5,315,54.6,10.37
