name,period,final_equity,sharpe,max_dd_%,trades
base_5m,2022,1245.3,3.116,-33.9,35
base_5m,2023,125.8,0.685,-44.1,51
base_5m,2024,3935.6,3.588,-43.8,96
base_5m,2025-26,17111.7,3.768,-51.3,109
base_5m,full,8416927.5,3.005,-52.4,293
pyr_5m,2022,1183.1,2.85,-39.9,35
pyr_5m,2023,106.5,0.413,-48.3,51
pyr_5m,2024,7566.9,3.833,-42.3,96
pyr_5m,2025-26,21720.1,3.627,-47.6,109
pyr_5m,full,15341027.4,2.92,-48.8,293
